CNTY_ST,STUSAB,FIPS,PPOV,PFHH,PHSLS,PUNEM,LO_POV,YCOORD,XCOORD,OTMIG,SQRTPPOV,PHSPLUS
Cleveland County  NC,NC,37045,0.18293100000,0.23659700000,0.61929000000,0.05377100000,-1.49661500000,-419483.33258500000,1236442.36597900000,0.122676,0.427704,0.380710
Columbus County  NC,NC,37047,0.30346500000,0.27427000000,0.65301600000,0.07702800000,-0.83085300000,-492505.98740400000,1504409.30301199000,0.108343,0.550877,0.346984
Craven County  NC,NC,37049,0.18875000000,0.23581500000,0.50825200000,0.05321600000,-1.45815100000,-372887.34477600000,1619443.82645800000,0.266579,0.434454,0.491748
Cumberland County  NC,NC,37051,0.17185800000,0.25637000000,0.46386100000,0.08564500000,-1.57251300000,-410020.69088299900,1473352.56922600000,0.303754,0.414558,0.536139
Currituck County  NC,NC,37053,0.16864000000,0.15846300000,0.57948500000,0.03714600000,-1.59529400000,-214224.39460900000,1679457.24007200000,0.186452,0.410658,0.420515
Dare County  NC,NC,37055,0.10043000000,0.18171300000,0.40695800000,0.04895800000,-2.19245100000,-279334.03217800000,1712046.14186399000,0.198419,0.316907,0.593042
Davidson County  NC,NC,37057,0.13650100000,0.18564700000,0.61710800000,0.04094900000,-1.84465700000,-350213.54410300000,1341463.83598600000,0.125914,0.369460,0.382892
Davie County  NC,NC,37059,0.10554200000,0.15100200000,0.57485500000,0.03715700000,-2.13710700000,-340166.66491200000,1310984.28651000000,0.140139,0.324872,0.425145
Duplin County  NC,NC,37061,0.22881300000,0.23112400000,0.67194000000,0.07374300000,-1.21502600000,-407358.37395799900,1551520.67457800000,0.149245,0.478344,0.328060
Durham County  NC,NC,37063,0.17529900000,0.31087600000,0.37625700000,0.05116800000,-1.54852800000,-303204.76217800000,1448672.57936799000,0.223717,0.418687,0.623743
Edgecombe County  NC,NC,37065,0.27809500000,0.35389900000,0.71797600000,0.09633300000,-0.95393300000,-295448.29555500000,1558221.30804500000,0.169577,0.527347,0.282024
Forsyth County  NC,NC,37067,0.15380600000,0.26794800000,0.45836700000,0.04592300000,-1.70506000000,-313971.83964800000,1331344.92309200000,0.173584,0.392181,0.541633
Franklin County  NC,NC,37069,0.16505900000,0.20612900000,0.61043600000,0.04732800000,-1.62105600000,-288532.54513400000,1497016.42460900000,0.150580,0.406275,0.389564
Gaston County  NC,NC,37071,0.14877700000,0.22298300000,0.58850100000,0.05664000000,-1.74422500000,-418629.61600400000,1268983.88716199000,0.125113,0.385716,0.411499
Gates County  NC,NC,37073,0.18119600000,0.20074900000,0.63929500000,0.04393900000,-1.50826600000,-221992.58747800000,1620589.64766600000,0.127602,0.425671,0.360705
Graham County  NC,NC,37075,0.24840000000,0.14961500000,0.68333300000,0.05879000000,-1.10716300000,-446242.72631100000,1042473.76784100000,0.132995,0.498397,0.316667
Granville County  NC,NC,37077,0.15560200000,0.23908300000,0.62241300000,0.04449100000,-1.69132400000,-270434.67940500000,1461705.55444999000,0.132929,0.394464,0.377587
Greene County  NC,NC,37079,0.28553300000,0.26916400000,0.69321100000,0.07283000000,-0.91717800000,-343271.50397299900,1561160.37963599000,0.130421,0.534353,0.306789
Guilford County  NC,NC,37081,0.14219200000,0.26287200000,0.42314500000,0.05478300000,-1.79719900000,-312607.05827699900,1371454.74160100000,0.184812,0.377084,0.576855
Halifax County  NC,NC,37083,0.33324300000,0.36399200000,0.68507300000,0.08081800000,-0.69355200000,-258915.92748200000,1546010.18038500000,0.124350,0.577272,0.314927
Harnett County  NC,NC,37085,0.17677700000,0.23262300000,0.57206500000,0.08279200000,-1.53833600000,-375803.12192300000,1463119.85339799000,0.184904,0.420449,0.427935
Haywood County  NC,NC,37087,0.17561600000,0.19342600000,0.54685000000,0.04558100000,-1.54634000000,-413545.79263300000,1111679.17678599000,0.129905,0.419066,0.453150
Henderson County  NC,NC,37089,0.14811800000,0.17620400000,0.47712500000,0.04602100000,-1.74944000000,-431399.45279600000,1157854.31184200000,0.141854,0.384861,0.522875
Hertford County  NC,NC,37091,0.21530100000,0.35320400000,0.64890800000,0.08700700000,-1.29326400000,-236318.08271700000,1599405.20686900000,0.147219,0.464005,0.351092
Hoke County  NC,NC,37093,0.22828100000,0.27079800000,0.61081000000,0.07025400000,-1.21804600000,-419982.92505299900,1439228.67270600000,0.185056,0.477788,0.389190
Hyde County  NC,NC,37095,0.19451600000,0.20970500000,0.69025000000,0.05254200000,-1.42093000000,-314275.33776299900,1679783.26950400000,0.197902,0.441040,0.309750
Iredell County  NC,NC,37097,0.10525300000,0.19285300000,0.54683200000,0.03960600000,-2.14017500000,-358232.14027899900,1285574.57607000000,0.127216,0.324427,0.453168
Jackson County  NC,NC,37099,0.16092500000,0.21812800000,0.43041400000,0.10246600000,-1.65136100000,-444986.57628099900,1102432.20556800000,0.177266,0.401155,0.569586
Johnston County  NC,NC,37101,0.16424900000,0.18404500000,0.57225100000,0.03958200000,-1.62694400000,-351388.00461499900,1502422.07384300000,0.139979,0.405276,0.427749
Jones County  NC,NC,37103,0.22727300000,0.26397500000,0.64315400000,0.05020900000,-1.22377500000,-388022.38720599900,1598518.91309600000,0.165353,0.476732,0.356846
Lee County  NC,NC,37105,0.17112800000,0.23908800000,0.55850000000,0.04649000000,-1.57765600000,-369035.25392200000,1435432.38989000000,0.166194,0.413676,0.441500
Lenoir County  NC,NC,37107,0.22490400000,0.33360200000,0.60303600000,0.08016000000,-1.23731200000,-369424.36684999900,1569485.30032299000,0.156553,0.474240,0.396964
Lincoln County  NC,NC,37109,0.11214700000,0.15834300000,0.60460200000,0.03891200000,-2.06900000000,-398239.49066900000,1261834.23579100000,0.156786,0.334884,0.395398
McDowell County  NC,NC,37111,0.15522900000,0.17487100000,0.66650300000,0.04534200000,-1.69416500000,-387988.84668900000,1188657.43674200000,0.113872,0.393991,0.333497
Macon County  NC,NC,37113,0.17931000000,0.17186000000,0.55536400000,0.04851700000,-1.52102700000,-463394.73984599900,1080568.47251600000,0.148185,0.423450,0.444636
Madison County  NC,NC,37115,0.18137700000,0.17282300000,0.60130800000,0.05190600000,-1.50704400000,-376977.62600100000,1130233.26781699000,0.172291,0.425884,0.398692
Martin County  NC,NC,37117,0.27656000000,0.29977900000,0.63460300000,0.08015900000,-0.96159000000,-294665.18749600000,1600771.10689500000,0.134432,0.525890,0.365397
Mecklenburg County  NC,NC,37119,0.11921900000,0.23588000000,0.35747000000,0.05170900000,-1.99984400000,-418952.44985300000,1299337.93776099000,0.206230,0.345281,0.642530
Mitchell County  NC,NC,37121,0.17936900000,0.14676300000,0.64269000000,0.04096400000,-1.52062500000,-353070.32829199900,1173381.09805700000,0.136691,0.423520,0.357310
Montgomery County  NC,NC,37123,0.19728100000,0.20255200000,0.68508000000,0.05071400000,-1.40337600000,-395946.89602599900,1376304.33644400000,0.128285,0.444163,0.314920
Moore County  NC,NC,37125,0.17009300000,0.21836800000,0.44813500000,0.05543400000,-1.58497200000,-391818.75933700000,1412622.07477600000,0.144949,0.412423,0.551865
Nash County  NC,NC,37127,0.18051600000,0.24677700000,0.58602200000,0.05503900000,-1.51285300000,-296146.46033700000,1524478.32628099000,0.168181,0.424872,0.413978
New Hanover County  NC,NC,37129,0.16156900000,0.26410600000,0.37812300000,0.05727900000,-1.64659800000,-483136.55330999900,1571087.72247500000,0.223383,0.401956,0.621877
Northampton County  NC,NC,37131,0.30028200000,0.33873000000,0.68853300000,0.08637700000,-0.84595700000,-237129.77139400000,1563583.20856500000,0.185161,0.547980,0.311467
Onslow County  NC,NC,37133,0.16928200000,0.18660800000,0.54721900000,0.06929900000,-1.59072300000,-420988.35958300000,1598945.94178900000,0.370249,0.411439,0.452781
Orange County  NC,NC,37135,0.09294700000,0.20577100000,0.27052100000,0.03712300000,-2.27817500000,-304292.58426300000,1427732.77788600000,0.332428,0.304872,0.729479
Pamlico County  NC,NC,37137,0.24415600000,0.21193600000,0.57591800000,0.05658600000,-1.13002800000,-364744.91655400000,1648251.58094500000,0.121242,0.494121,0.424082
Pasquotank County  NC,NC,37139,0.25585800000,0.30892200000,0.52366400000,0.09762500000,-1.06761100000,-231116.49999099900,1659559.14356400000,0.182263,0.505824,0.476336
Pender County  NC,NC,37141,0.18866900000,0.20304900000,0.57982700000,0.05671500000,-1.45868100000,-451670.52074900000,1562900.22262700000,0.163463,0.434360,0.420173
Perquimans County  NC,NC,37143,0.27503000000,0.23399400000,0.61574400000,0.05922300000,-0.96924900000,-243664.74071899900,1648460.11419000000,0.154862,0.524433,0.384256
Person County  NC,NC,37145,0.15139400000,0.23917900000,0.63607100000,0.04708400000,-1.72370600000,-266105.38808800000,1433386.10870500000,0.112999,0.389094,0.363929
Pitt County  NC,NC,37147,0.22002800000,0.29248700000,0.42188900000,0.06778800000,-1.26550100000,-326306.96505499900,1584003.95715399000,0.195008,0.469071,0.578111
Polk County  NC,NC,37149,0.11869100000,0.16389000000,0.48900700000,0.04080400000,-2.00488400000,-433641.34733399900,1185189.85708900000,0.147735,0.344516,0.510993
Randolph County  NC,NC,37151,0.11998300000,0.17409400000,0.66355700000,0.03131800000,-1.99259500000,-353179.18643700000,1377281.88689500000,0.130354,0.346386,0.336443
Richmond County  NC,NC,37153,0.27134100000,0.30873900000,0.67291600000,0.06873600000,-0.98783000000,-429196.19836099900,1396066.68152999000,0.131976,0.520904,0.327084
Robeson County  NC,NC,37155,0.30417600000,0.32964000000,0.66616800000,0.09628800000,-0.82748900000,-459003.22855399900,1458293.72164199000,0.094666,0.551522,0.333832
Rockingham County  NC,NC,37157,0.16816800000,0.22050500000,0.65077900000,0.05763500000,-1.59866400000,-277809.61460999900,1366375.84498100000,0.124251,0.410083,0.349221
Rowan County  NC,NC,37159,0.14164900000,0.21487800000,0.60097100000,0.06283500000,-1.80166500000,-371539.44858400000,1318101.96151899000,0.123623,0.376363,0.399029
Rutherford County  NC,NC,37161,0.18931200000,0.21493700000,0.63304400000,0.06020600000,-1.45448400000,-416890.99048699900,1204297.03075299000,0.091711,0.435100,0.366956
Sampson County  NC,NC,37163,0.21801100000,0.22910500000,0.66766000000,0.06929600000,-1.27729300000,-408763.93606500000,1513232.65567000000,0.115012,0.466916,0.332340
Scotland County  NC,NC,37165,0.30269100000,0.35322200000,0.58550400000,0.09914800000,-0.83451700000,-443041.68967699900,1422095.39732600000,0.128187,0.550174,0.414496
Stanly County  NC,NC,37167,0.14457400000,0.18429000000,0.62445000000,0.04476200000,-1.77780700000,-403347.19534199900,1347461.63576000000,0.101204,0.380229,0.375550
Stokes County  NC,NC,37169,0.10241200000,0.16405600000,0.67296300000,0.05854700000,-2.17070300000,-284064.92914199900,1327555.65068800000,0.130463,0.320019,0.327037
Surry County  NC,NC,37171,0.15576200000,0.16457300000,0.62747300000,0.03381500000,-1.69010200000,-289101.74068500000,1289886.01293400000,0.123371,0.394667,0.372527
Swain County  NC,NC,37173,0.26807100000,0.25243300000,0.61944600000,0.10137400000,-1.00443000000,-427279.98070499900,1069391.78120899000,0.160716,0.517756,0.380554
Transylvania County  NC,NC,37175,0.13668100000,0.19412100000,0.47684300000,0.04881500000,-1.84313600000,-450134.45707900000,1132944.68057999000,0.142938,0.369704,0.523157
Tyrrell County  NC,NC,37177,0.31527600000,0.30751700000,0.67122900000,0.06051500000,-0.77556600000,-280893.90331700000,1677308.09165599000,0.277689,0.561494,0.328771
Union County  NC,NC,37179,0.10827900000,0.13744800000,0.51920200000,0.04297800000,-2.10844100000,-442842.43152599900,1329806.63892899000,0.117780,0.329058,0.480798
Vance County  NC,NC,37181,0.28293400000,0.35003700000,0.67947500000,0.08291400000,-0.92995400000,-259839.47438000000,1480765.14516599000,0.120057,0.531915,0.320525
Wake County  NC,NC,37183,0.08850600000,0.18062200000,0.30036400000,0.03901300000,-2.33201500000,-326368.59463100000,1472719.20730299000,0.195299,0.297500,0.699636
Warren County  NC,NC,37185,0.25016200000,0.31232800000,0.64579200000,0.08304000000,-1.09774700000,-251420.45290700000,1505129.25309000000,0.126381,0.500162,0.354208
Washington County  NC,NC,37187,0.31718400000,0.35231900000,0.67914300000,0.07131800000,-0.76674200000,-287240.44792000000,1645513.38937900000,0.151877,0.563191,0.320857
Watauga County  NC,NC,37189,0.11881500000,0.16466600000,0.34158700000,0.08207900000,-2.00370200000,-323069.40545999900,1208835.64345999000,0.264311,0.344696,0.658413
Wayne County  NC,NC,37191,0.18901200000,0.26716300000,0.56192100000,0.06287900000,-1.45644100000,-362077.30573000000,1536190.00396099000,0.157157,0.434755,0.438079
Wilkes County  NC,NC,37193,0.13683300000,0.16387300000,0.65428200000,0.03754600000,-1.84184300000,-318555.34679300000,1253927.65511900000,0.097330,0.369909,0.345718
Wilson County  NC,NC,37195,0.25097500000,0.30075500000,0.62768800000,0.07239200000,-1.09341900000,-323521.93874499900,1535926.35623200000,0.134930,0.500974,0.372312
Yadkin County  NC,NC,37197,0.11051400000,0.15148300000,0.64898100000,0.03148600000,-2.08550100000,-316590.57705399900,1296525.28600499000,0.115397,0.332436,0.351019
Yancey County  NC,NC,37199,0.22633000000,0.13473800000,0.66385600000,0.04539300000,-1.22915300000,-367475.74759200000,1163157.03853000000,0.132557,0.475742,0.336144
Adair County  OK,OK,40001,0.28713700000,0.19139800000,0.72122000000,0.07155500000,-0.90933100000,-456056.33465799900,114401.80059000000,0.154034,0.535852,0.278780
Alfalfa County  OK,OK,40003,0.18281400000,0.12521200000,0.60512400000,0.02752700000,-1.49739900000,-360393.73172099900,-195783.77903800000,0.215405,0.427568,0.394876
Atoka County  OK,OK,40005,0.26143400000,0.18299000000,0.71105900000,0.06587100000,-1.03852900000,-624424.57098900000,-3318.27098200000,0.150791,0.511306,0.288941
Beaver County  OK,OK,40007,0.16376500000,0.12250300000,0.56464000000,0.02579700000,-1.63047500000,-351518.46923100000,-376932.85917800000,0.258146,0.404679,0.435360
Beckham County  OK,OK,40009,0.25361600000,0.20016800000,0.61014700000,0.06320500000,-1.07942100000,-518714.50609400000,-316720.12404999900,0.182231,0.503603,0.389853
Blaine County  OK,OK,40011,0.22210600000,0.15690900000,0.66886400000,0.05314900000,-1.25343600000,-455090.16670800000,-207554.62779800000,0.229697,0.471281,0.331136
Bryan County  OK,OK,40013,0.21758700000,0.20652700000,0.55084900000,0.06452600000,-1.27978500000,-670012.06307399900,-22805.53257500000,0.171686,0.466462,0.449151
Caddo County  OK,OK,40015,0.29286400000,0.22617700000,0.65138500000,0.08005500000,-0.88151500000,-532967.12704900000,-204587.73275100000,0.156325,0.541169,0.348615
Canadian County  OK,OK,40017,0.10010400000,0.16011500000,0.46254400000,0.03460000000,-2.19607100000,-492895.50837699900,-169887.85677200000,0.189694,0.316392,0.537456
Carter County  OK,OK,40019,0.22185300000,0.22195600000,0.61107600000,0.05622900000,-1.25490100000,-637251.32270599900,-112208.09251200000,0.178756,0.471013,0.388924
Cherokee County  OK,OK,40021,0.29319400000,0.22838200000,0.51622800000,0.08161200000,-0.87992300000,-453905.78209300000,85290.22632600000,0.204409,0.541474,0.483772
Choctaw County  OK,OK,40023,0.33122300000,0.27637900000,0.67696500000,0.07071700000,-0.70265800000,-662815.86346999900,39178.03274900000,0.177236,0.575520,0.323035
Cimarron County  OK,OK,40025,0.22790700000,0.09390900000,0.56498900000,0.02005500000,-1.22016700000,-341277.73604300000,-548542.00628800000,0.195518,0.477396,0.435011
Cleveland County  OK,OK,40027,0.10526000000,0.18618000000,0.37448600000,0.04157700000,-2.14010000000,-531530.87769200000,-114268.07050800000,0.210527,0.324438,0.625514
Coal County  OK,OK,40029,0.28980900000,0.18269200000,0.68322400000,0.06876800000,-0.89631200000,-600581.21132700000,-25881.74241700000,0.178369,0.538339,0.316776
Comanche County  OK,OK,40031,0.21550200000,0.24158100000,0.49649800000,0.07566400000,-1.29207600000,-589511.65347100000,-214468.88060500000,0.303221,0.464222,0.503502
Cotton County  OK,OK,40033,0.24622800000,0.18559200000,0.62738300000,0.04818000000,-1.11883100000,-631003.39664399900,-206904.91888600000,0.171824,0.496214,0.372617
Craig County  OK,OK,40035,0.17736500000,0.18825600000,0.64410200000,0.03923900000,-1.53430400000,-359194.95079700000,66657.76166200000,0.271949,0.421147,0.355898
Creek County  OK,OK,40037,0.17653600000,0.18250100000,0.63148000000,0.04761100000,-1.53999600000,-454738.36085000000,-31626.98403400000,0.181592,0.420162,0.368520
Custer County  OK,OK,40039,0.21442300000,0.18805100000,0.46638700000,0.04736600000,-1.29846900000,-479809.37670899900,-256841.12278500000,0.246158,0.463058,0.533613
Delaware County  OK,OK,40041,0.27872000000,0.18249500000,0.62945500000,0.06553000000,-0.95082000000,-398049.28269999900,101353.31808400000,0.163124,0.527939,0.370545
Dewey County  OK,OK,40043,0.18744200000,0.09351100000,0.61646100000,0.03327300000,-1.46671600000,-441113.30732399900,-256117.07230900000,0.267787,0.432946,0.383539
Ellis County  OK,OK,40045,0.20268800000,0.14285700000,0.58823500000,0.02255600000,-1.36958100000,-413233.22865000000,-318582.34755700000,0.286630,0.450209,0.411765
Garfield County  OK,OK,40047,0.20398200000,0.21203000000,0.54829000000,0.05062200000,-1.36158900000,-400454.28901800000,-150965.38885900000,0.220744,0.451644,0.451710
Garvin County  OK,OK,40049,0.19317300000,0.18751900000,0.68236000000,0.05629100000,-1.42952200000,-586894.47040100000,-113552.19080300000,0.189882,0.439515,0.317640
Grady County  OK,OK,40051,0.17739500000,0.17459300000,0.59055000000,0.04787500000,-1.53409800000,-551417.91189300000,-162668.20283299900,0.184060,0.421183,0.409450
Grant County  OK,OK,40053,0.20491200000,0.13728500000,0.54796700000,0.02656700000,-1.35587400000,-354169.74239099900,-150334.78348200000,0.235967,0.452672,0.452033
Greer County  OK,OK,40055,0.29610400000,0.22164000000,0.59777700000,0.06923100000,-0.86592000000,-556052.62163900000,-307734.67943700000,0.226903,0.544154,0.402223
Harmon County  OK,OK,40057,0.38184100000,0.20157100000,0.69180300000,0.06919200000,-0.48174200000,-576298.83592099900,-333287.13396700000,0.174314,0.617933,0.308197
Harper County  OK,OK,40059,0.16121200000,0.12559200000,0.55022000000,0.01383300000,-1.64923700000,-350246.20898699900,-308640.63102799900,0.181277,0.401512,0.449780
Haskell County  OK,OK,40061,0.25548200000,0.14996600000,0.65734300000,0.04721500000,-1.06958700000,-529623.94521899900,76041.52896900000,0.166129,0.505452,0.342657
Hughes County  OK,OK,40063,0.27973800000,0.20404200000,0.68750600000,0.07621000000,-0.94576300000,-549559.20302999900,-21601.63639600000,0.187255,0.528903,0.312494
Jackson County  OK,OK,40065,0.21308900000,0.19548500000,0.49719300000,0.05242500000,-1.30640600000,-595069.49775099900,-296620.66419400000,0.333718,0.461616,0.502807
Jefferson County  OK,OK,40067,0.23860100000,0.18789400000,0.68300200000,0.05515200000,-1.16036600000,-651993.16873899900,-160554.15257499900,0.188058,0.488468,0.316998
Johnston County  OK,OK,40069,0.28436600000,0.17480300000,0.60974100000,0.06086000000,-0.92290900000,-630556.16968499900,-57606.73940200000,0.184970,0.533260,0.390259
Kay County  OK,OK,40071,0.23278600000,0.20582500000,0.53837200000,0.07692700000,-1.19264900000,-352615.67821500000,-96271.61513100000,0.210076,0.482479,0.461628
Kingfisher County  OK,OK,40073,0.14543000000,0.13118300000,0.58627800000,0.03472300000,-1.77090000000,-448294.26461600000,-165480.14364400000,0.207879,0.381353,0.413722
Kiowa County  OK,OK,40075,0.24196900000,0.20136500000,0.59961400000,0.05959400000,-1.14191400000,-560007.15729999900,-257697.12559300000,0.210010,0.491903,0.400386
Latimer County  OK,OK,40077,0.31157300000,0.21557800000,0.58649700000,0.07780100000,-0.79277700000,-568425.35118300000,64844.09211200000,0.194332,0.558187,0.413503
Le Flore County  OK,OK,40079,0.24866500000,0.17945700000,0.65358200000,0.06344500000,-1.10574400000,-565286.13807700000,112113.51891100000,0.152453,0.498663,0.346418
Lincoln County  OK,OK,40081,0.18677800000,0.16457800000,0.65208100000,0.04876700000,-1.47108600000,-476593.30466700000,-75325.47003800000,0.183600,0.432178,0.347919
Logan County  OK,OK,40083,0.16035800000,0.17273600000,0.52956100000,0.05651300000,-1.65556300000,-451973.10932400000,-123020.73754500000,0.202134,0.400447,0.470439
Love County  OK,OK,40085,0.14490200000,0.17156000000,0.68266300000,0.05177400000,-1.77516200000,-670706.38303999900,-108983.93560000000,0.154127,0.380660,0.317337
McClain County  OK,OK,40087,0.14012000000,0.15578800000,0.58125400000,0.03716300000,-1.81429000000,-552985.10307700000,-124629.24900000000,0.213640,0.374326,0.418746
McCurtain County  OK,OK,40089,0.32937100000,0.26244400000,0.67942600000,0.07408200000,-0.71103200000,-652299.73180099900,107449.05840100000,0.155360,0.573909,0.320574
